ClaimNumber,Reserve_Profile,ExposureYear,IncurredLoss,UltimateLoss,AssignedEarmarkedLoss,FinancePremium,LossType,ClaimStatus,ReportedDate,SettlementDate,Currency,GeographicalLocation
CLM001023,Homeowners,2023,8179.71,141229.91,61289.64,1050.68,Net,Open,2013-10-03,,USD,Toronto
CLM001024,Homeowners,2018,70624.73,34845.21,62391.89,412.08,Net,Closed,2011-11-08,2012-11-29,GBP,Toronto
CLM001025,Workers Comp,2014,40850.11,59054.28,61723.88,6021.32,Gross,Closed,2023-11-21,2026-05-28,CAD,Toronto
CLM001026,Homeowners,2011,92083.97,91362.21,18489.47,8658.71,Net,Reopened,2010-09-10,2011-03-10,USD,Sydney
CLM001027,Homeowners,2019,65375.25,113545.5,78044.18,5927.53,Net,Reopened,2017-11-04,2019-07-24,CAD,New York
CLM001028,Commercial,2013,9951.48,135346.35,79616.98,2289.7,Gross,Closed,2014-06-05,2015-05-25,USD,Berlin
CLM001029,Auto Liability,2018,94837.8,137405.48,6509.87,1087.09,Gross,Open,2015-07-10,,AUD,Paris
CLM001030,Auto Liability,2010,26597.17,116719.37,74947.49,7056.05,Gross,Open,2016-02-10,,AUD,Chicago
CLM001031,Commercial,2020,34384.04,35021.29,23511.21,7273.35,Gross,Open,2012-01-31,,GBP,Toronto
CLM001032,Workers Comp,2010,40823.78,4696.59,55298.08,1890.81,Gross,Closed,2018-12-31,2019-10-02,EUR,Chicago
CLM001033,Auto Liability,2021,6071.21,58182.32,27379.82,476.27,Gross,Closed,2011-01-28,2013-06-01,GBP,Chicago
CLM001034,Homeowners,2016,50155.03,22090.78,77436.47,4201.18,Gross,Open,2018-06-19,,USD,Paris
CLM001035,Auto Liability,2020,13208.53,106847.76,8569.56,5910.64,Net,Reopened,2019-09-13,2020-08-22,CAD,New York
CLM001036,Homeowners,2012,40696.06,99508.46,40070.87,7118.82,Gross,Reopened,2011-03-07,2013-10-31,CAD,Berlin
CLM001037,Workers Comp,2019,35720.27,7551.77,34529.8,8137.46,Net,Open,2020-03-19,,USD,Chicago
CLM001038,Commercial,2011,77511.17,125652.47,26418.86,6183.27,Gross,Closed,2012-09-23,2013-04-02,EUR,Los Angeles
CLM001039,Auto Liability,2018,80513.88,38062.75,51819.95,1286.63,Gross,Closed,2012-12-27,2014-09-29,EUR,Los Angeles
CLM001040,Commercial,2012,16187.88,65401.83,10918.93,6889.3,Gross,Open,2013-01-05,,EUR,Los Angeles
CLM001041,Auto Liability,2011,37288.57,100522.13,57474.66,9844.93,Gross,Reopened,2010-04-12,2010-11-12,USD,Paris
CLM001042,Homeowners,2021,37961.96,64983.4,78457.07,9074.73,Gross,Open,2017-05-23,,AUD,New York
CLM001043,Commercial,2017,15989.63,66751.88,64462.42,8742.36,Gross,Open,2012-06-11,,AUD,Los Angeles
CLM001044,Auto Liability,2019,80046.9,10778.57,68871.33,3161.27,Net,Open,2016-03-10,,USD,London
CLM001045,Homeowners,2015,71015.6,60815.09,29091.12,7557.72,Gross,Reopened,2014-11-24,2016-06-04,AUD,London
CLM001046,Commercial,2015,19847.8,114962.34,26328.49,8540.81,Gross,Open,2015-12-21,,EUR,Los Angeles
CLM001047,Commercial,2019,37305.47,137361.27,41605.34,6847.6,Gross,Reopened,2024-07-22,2025-05-07,AUD,Paris
CLM001048,Auto Liability,2020,11474.7,62611.07,4135.27,2655.51,Net,Closed,2018-06-24,2021-03-08,USD,Berlin
CLM001049,Auto Liability,2016,63192.45,64114.29,75655.97,9547.57,Net,Reopened,2022-07-04,2023-04-04,AUD,New York
CLM001050,Auto Liability,2016,13015.82,105691.44,11930.92,4618.03,Gross,Reopened,2020-02-02,2022-05-29,AUD,New York
CLM001051,Homeowners,2020,98607.48,141473.03,72289.54,1472.09,Gross,Open,2014-11-16,,AUD,Los Angeles
CLM001052,Auto Liability,2022,78287.53,40792.08,7144.79,1275.82,Gross,Closed,2019-11-24,2020-02-11,AUD,Sydney
CLM001053,Commercial,2024,39633.62,66581.49,65898.68,6545.69,Gross,Open,2020-12-27,,USD,Paris
CLM001054,Commercial,2015,58277.83,119600.01,12581.02,4489.55,Gross,Reopened,2013-07-03,2014-03-24,GBP,Toronto
CLM001055,Auto Liability,2013,91222.84,91844.34,3531.46,1125.94,Net,Reopened,2020-12-22,2022-08-27,AUD,Paris
CLM001056,Auto Liability,2020,55855.83,17477.37,57699.41,7455.57,Gross,Open,2018-12-31,,GBP,Berlin
CLM001057,Workers Comp,2018,18275.35,94532.18,22781.09,8033.39,Net,Closed,2017-05-05,2018-12-11,USD,New York
CLM001058,Commercial,2015,38491.63,28825.2,57302.44,7309.07,Net,Reopened,2022-05-15,2024-12-13,CAD,Toronto
CLM001059,Homeowners,2013,84471.34,77022.17,44629.28,2182.16,Gross,Reopened,2017-03-13,2018-02-11,GBP,Los Angeles
CLM001060,Workers Comp,2021,64777.09,79836.39,9150.19,6959.8,Net,Reopened,2011-06-23,2012-11-10,USD,Chicago
CLM001061,Auto Liability,2012,65421.71,131554.3,74604.34,305.08,Gross,Closed,2014-11-16,2016-04-16,CAD,Berlin
CLM001062,Auto Liability,2013,86815.33,69911.65,36458.98,3190.1,Net,Open,2019-08-28,,AUD,New York
CLM001063,Commercial,2012,89503.33,42636.92,58888.56,4108.45,Gross,Closed,2016-06-06,2017-04-17,USD,Los Angeles
CLM001064,Auto Liability,2024,92059.46,35413.99,40331.14,8385.42,Gross,Closed,2024-10-21,2026-06-03,EUR,London
CLM001065,Homeowners,2011,10390.07,131263.53,48546.74,4025.86,Gross,Reopened,2015-05-15,2015-09-19,CAD,New York
CLM001066,Commercial,2023,54868.47,26480.62,24570.5,310.44,Gross,Closed,2018-06-19,2019-11-08,EUR,London
CLM001067,Auto Liability,2014,74310.44,64454.42,16428.64,3652.99,Net,Reopened,2019-10-03,2022-05-06,AUD,Los Angeles
CLM001068,Commercial,2011,75935.76,28888.79,43634.33,5089.46,Net,Closed,2023-11-30,2025-02-07,AUD,London
CLM001069,Auto Liability,2015,61064.9,116222.3,35497.41,9500.25,Net,Closed,2023-06-03,2026-01-30,GBP,Sydney
CLM001070,Auto Liability,2012,17511.95,71681.52,31514.0,9422.14,Gross,Open,2016-04-23,,AUD,Chicago
CLM001071,Auto Liability,2015,79944.63,53320.41,53969.09,1972.57,Gross,Closed,2016-11-05,2018-11-30,GBP,Chicago
CLM001072,Homeowners,2024,72291.02,54803.85,55395.28,2014.44,Net,Open,2016-10-21,,CAD,Los Angeles
CLM001073,Homeowners,2020,9527.44,127979.92,4150.64,1801.14,Gross,Reopened,2016-09-11,2017-06-22,EUR,Los Angeles
CLM001074,Commercial,2019,46917.17,83512.32,27430.19,7931.43,Gross,Reopened,2024-06-08,2027-02-22,CAD,Sydney
CLM001075,Auto Liability,2018,18223.76,107962.31,33235.28,259.02,Net,Open,2011-10-11,,EUR,Chicago
CLM001076,Auto Liability,2010,34410.23,134658.74,8202.93,1446.34,Gross,Reopened,2016-03-19,2017-08-17,USD,Toronto
CLM001077,Homeowners,2015,2790.03,135359.51,19254.12,5472.0,Net,Reopened,2020-06-12,2022-05-15,CAD,Berlin
CLM001078,Auto Liability,2018,40632.66,49947.85,4605.52,2626.11,Gross,Closed,2014-04-01,2014-11-10,USD,Chicago
CLM001079,Homeowners,2020,55437.82,142915.24,79701.25,1105.09,Gross,Open,2022-12-05,,EUR,Toronto
CLM001080,Auto Liability,2013,62338.68,4706.51,59056.3,3726.8,Net,Reopened,2023-05-04,2024-09-08,GBP,Paris
CLM001081,Commercial,2020,66685.54,57148.5,7452.29,2887.23,Net,Open,2013-07-26,,CAD,Sydney
CLM001082,Auto Liability,2021,83792.84,134474.03,2109.83,5208.82,Net,Closed,2017-03-17,2019-10-15,CAD,Toronto
CLM001083,Auto Liability,2011,22330.83,41920.9,57683.38,9796.49,Net,Reopened,2016-12-07,2018-05-24,GBP,Chicago
CLM001084,Workers Comp,2022,12927.7,41689.14,35415.78,1418.19,Net,Reopened,2013-06-22,2013-08-26,GBP,Berlin
CLM001085,Homeowners,2013,85302.18,46090.72,63050.34,3852.72,Gross,Open,2014-11-09,,AUD,Berlin
CLM001086,Auto Liability,2010,16504.67,92234.69,73916.35,9333.45,Net,Reopened,2018-06-17,2021-01-20,AUD,New York
CLM001087,Auto Liability,2012,97501.25,66311.58,48144.38,8793.36,Gross,Open,2019-12-07,,EUR,Chicago
CLM001088,Workers Comp,2019,84411.28,109283.49,15375.12,4063.86,Gross,Reopened,2013-03-12,2015-09-16,CAD,Toronto
CLM001089,Workers Comp,2018,50586.78,134341.69,62684.43,7049.74,Net,Closed,2016-12-23,2018-11-01,GBP,Sydney
CLM001090,Homeowners,2019,98160.72,101455.71,76487.03,1061.0,Net,Closed,2014-03-31,2015-12-10,GBP,New York
CLM001091,Workers Comp,2014,10640.3,31465.54,46628.39,7182.9,Gross,Open,2015-11-11,,USD,Toronto
CLM001092,Commercial,2024,31003.51,139969.6,54718.8,9734.01,Net,Reopened,2019-08-22,2019-12-02,AUD,Los Angeles
CLM001093,Workers Comp,2020,64184.22,40409.44,27329.24,5467.38,Net,Reopened,2020-01-03,2020-12-17,USD,Berlin
CLM001094,Commercial,2015,35650.68,23334.25,30831.45,5085.2,Gross,Open,2011-09-13,,GBP,Sydney
CLM001095,Homeowners,2012,92908.88,14405.12,58905.03,2035.72,Gross,Closed,2024-10-21,2025-07-22,CAD,Chicago
CLM001096,Homeowners,2014,7496.98,84944.18,74257.8,6411.12,Net,Closed,2016-11-28,2019-05-04,CAD,Chicago
CLM001097,Homeowners,2020,55391.77,17950.61,50504.58,5986.29,Gross,Closed,2023-01-20,2025-02-27,USD,Los Angeles
CLM001098,Homeowners,2017,59495.76,21677.61,63292.91,6588.94,Gross,Open,2023-05-29,,AUD,Toronto
CLM001099,Homeowners,2015,65620.08,45704.54,14144.98,455.62,Gross,Closed,2010-06-20,2012-08-15,EUR,Chicago
CLM001100,Commercial,2013,26310.96,42966.3,17350.75,5577.49,Gross,Open,2016-08-16,,CAD,Chicago
CLM001101,Commercial,2011,37092.08,91031.69,42796.76,6030.36,Gross,Closed,2017-08-11,2017-12-07,EUR,Chicago
CLM001102,Homeowners,2023,84524.37,122695.05,14536.06,2233.8,Gross,Closed,2013-11-17,2016-01-27,AUD,Berlin
CLM001103,Workers Comp,2018,20299.33,114441.1,50982.11,2241.66,Gross,Open,2012-07-27,,USD,Berlin
CLM001104,Auto Liability,2022,82859.92,40110.18,23686.43,2906.94,Gross,Reopened,2023-07-02,2023-12-17,AUD,Los Angeles
CLM001105,Homeowners,2021,56702.89,37551.26,63426.84,7174.87,Gross,Reopened,2015-07-25,2017-03-08,GBP,Toronto
CLM001106,Workers Comp,2010,76456.56,144902.94,64744.77,6141.41,Gross,Reopened,2018-09-13,2020-08-01,AUD,Toronto
CLM001107,Auto Liability,2010,71647.13,2227.2,37371.1,8488.47,Net,Closed,2017-08-03,2019-09-25,USD,Chicago
CLM001108,Homeowners,2022,21543.64,132078.36,14874.45,3097.45,Net,Closed,2024-08-26,2025-10-26,USD,Sydney
CLM001109,Homeowners,2013,57312.46,30759.55,51918.61,9138.27,Net,Reopened,2023-12-19,2026-08-27,AUD,New York
CLM001110,Commercial,2016,86904.59,142145.36,79426.57,7488.32,Gross,Closed,2020-05-24,2021-10-19,USD,Berlin
CLM001111,Auto Liability,2010,43779.51,52003.79,49995.98,4071.11,Gross,Closed,2017-11-24,2019-01-14,GBP,New York
CLM001112,Auto Liability,2018,96692.49,66612.41,3344.09,1133.57,Gross,Reopened,2014-09-28,2015-10-30,EUR,New York
CLM001113,Workers Comp,2013,45769.29,106360.97,1874.87,2718.44,Gross,Open,2013-06-26,,AUD,Chicago
CLM001114,Commercial,2012,15135.78,88562.69,25968.78,9576.33,Gross,Reopened,2024-11-19,2026-03-21,USD,Berlin
CLM001115,Commercial,2010,39554.03,48372.96,16064.81,3241.56,Net,Reopened,2014-10-19,2016-01-13,EUR,Toronto
CLM001116,Commercial,2019,95218.54,83520.81,65137.57,3433.03,Gross,Open,2015-05-11,,GBP,Berlin
CLM001117,Commercial,2013,32652.36,109875.33,67662.05,2057.97,Net,Closed,2019-07-20,2021-02-07,AUD,Los Angeles
CLM001118,Auto Liability,2018,86941.72,7307.91,21060.19,8107.14,Net,Reopened,2023-09-18,2024-09-25,USD,New York
CLM001119,Auto Liability,2022,88243.82,2668.7,26388.76,2901.31,Net,Reopened,2014-08-19,2016-09-06,EUR,Chicago
CLM001120,Homeowners,2023,35668.47,69251.97,19281.63,3436.53,Gross,Closed,2021-05-28,2021-11-11,GBP,Chicago
CLM001121,Homeowners,2019,9242.51,20643.66,72716.41,4260.61,Net,Closed,2013-06-11,2014-07-19,CAD,Sydney
CLM001122,Commercial,2015,72731.23,99987.3,40460.62,4450.54,Gross,Open,2011-03-08,,USD,Berlin
CLM001123,Commercial,2015,31839.72,32893.82,52662.9,4231.14,Gross,Closed,2024-03-01,2024-09-01,GBP,Paris
CLM001124,Commercial,2010,78509.44,65494.81,33530.83,5136.69,Net,Reopened,2021-09-05,2023-03-07,EUR,Sydney
CLM001125,Homeowners,2019,44822.83,30452.97,50665.63,8182.23,Net,Closed,2015-09-15,2016-02-06,AUD,Toronto
CLM001126,Workers Comp,2011,49041.41,82724.05,31175.5,8228.99,Net,Closed,2020-09-10,2021-01-09,EUR,Chicago
CLM001127,Workers Comp,2020,78013.03,18291.97,27504.44,8023.47,Gross,Open,2021-12-03,,AUD,Chicago
CLM001128,Homeowners,2015,38853.97,4442.92,50941.17,1191.02,Gross,Open,2016-04-17,,GBP,Toronto
CLM001129,Homeowners,2011,44869.61,8618.61,47489.44,8036.85,Net,Reopened,2015-10-06,2017-04-12,GBP,Los Angeles
CLM001130,Homeowners,2012,38242.86,143184.51,23835.47,1378.47,Gross,Reopened,2023-12-18,2025-08-22,EUR,Sydney
CLM001131,Homeowners,2013,37366.71,22200.65,12373.2,1422.29,Gross,Closed,2013-03-30,2013-07-28,EUR,Paris
CLM001132,Homeowners,2020,53068.71,106563.26,29801.85,9489.06,Gross,Reopened,2011-03-13,2013-03-11,AUD,Sydney
CLM001133,Homeowners,2014,81071.15,11121.0,33508.21,8230.1,Net,Reopened,2021-11-04,2023-01-05,USD,Berlin
CLM001134,Commercial,2024,36815.06,17115.89,50480.4,5613.62,Net,Closed,2023-06-28,2023-11-09,EUR,Toronto
CLM001135,Commercial,2018,52901.22,76822.56,73205.04,8774.71,Net,Closed,2023-07-08,2025-10-26,USD,Sydney
CLM001136,Commercial,2021,67402.01,70265.77,3376.69,9895.77,Gross,Closed,2024-07-18,2027-04-09,USD,London
CLM001137,Commercial,2024,27674.51,142785.47,19871.05,6184.29,Net,Open,2022-11-29,,USD,Berlin
CLM001138,Homeowners,2024,28474.76,141780.48,15900.42,6206.4,Gross,Open,2016-07-27,,GBP,Chicago
CLM001139,Workers Comp,2013,93407.9,117161.69,40432.41,7593.38,Gross,Closed,2024-09-21,2025-07-26,GBP,Berlin
CLM001140,Auto Liability,2022,72629.92,90713.17,34661.21,2474.96,Gross,Open,2011-09-14,,USD,London
CLM001141,Homeowners,2020,58141.48,68789.09,58458.49,1837.82,Gross,Open,2020-03-02,,USD,Paris
CLM001142,Auto Liability,2018,65124.29,54070.6,19772.07,7643.89,Net,Open,2011-09-27,,GBP,Chicago
CLM001143,Workers Comp,2020,3900.64,142116.04,47762.62,3580.07,Net,Reopened,2018-04-01,2019-04-29,AUD,Toronto
CLM001144,Commercial,2019,62192.19,90833.41,70766.65,1523.69,Gross,Closed,2015-06-17,2017-05-08,CAD,Sydney
CLM001145,Workers Comp,2012,51441.38,87281.81,72898.88,3285.8,Net,Closed,2017-04-29,2018-04-11,EUR,Sydney
CLM001146,Homeowners,2017,55029.22,35553.27,76723.38,3714.64,Net,Reopened,2016-05-29,2017-12-17,USD,Toronto
CLM001147,Commercial,2021,36582.96,7957.97,61974.26,9659.23,Net,Open,2013-11-10,,GBP,Paris
CLM001148,Homeowners,2010,9065.92,141833.1,72526.04,7040.01,Net,Closed,2020-06-13,2021-05-22,USD,Chicago
CLM001149,Commercial,2020,20140.58,47746.55,19145.2,5402.39,Net,Open,2012-04-08,,USD,London
CLM001150,Auto Liability,2018,95123.73,66945.76,16207.69,9694.96,Net,Reopened,2016-03-31,2017-06-02,USD,London
CLM001151,Auto Liability,2018,41461.26,18081.35,1015.8,9050.77,Net,Open,2011-06-21,,USD,Chicago
CLM001152,Auto Liability,2019,47201.63,125701.73,56694.13,5217.61,Net,Reopened,2013-11-03,2014-07-12,AUD,Paris
CLM001153,Workers Comp,2011,6218.27,5117.14,75028.64,9075.66,Net,Reopened,2012-03-15,2013-11-14,EUR,London
CLM001154,Homeowners,2013,4719.06,125264.62,15361.36,4162.19,Net,Open,2018-12-26,,EUR,Chicago
CLM001155,Workers Comp,2022,72000.96,21902.47,51137.01,2458.12,Net,Open,2012-05-01,,GBP,Berlin
CLM001156,Auto Liability,2017,54271.37,133098.05,59843.55,2480.25,Gross,Closed,2016-02-04,2017-11-17,AUD,Chicago
CLM001157,Homeowners,2016,51361.89,109736.12,74245.33,6690.69,Gross,Reopened,2011-07-10,2011-12-16,AUD,Paris
CLM001158,Auto Liability,2010,25069.33,25535.87,51925.39,5110.49,Net,Open,2018-08-10,,EUR,Sydney
CLM001159,Workers Comp,2014,74730.32,85306.88,77638.35,6657.72,Net,Open,2024-08-16,,GBP,New York
CLM001160,Workers Comp,2016,17655.42,47585.79,27901.51,6923.54,Net,Closed,2023-10-23,2024-09-07,AUD,Berlin
CLM001161,Workers Comp,2024,19803.54,27556.73,28319.32,418.76,Net,Closed,2021-11-02,2024-02-24,GBP,Chicago
CLM001162,Auto Liability,2013,46610.5,129018.15,43669.49,729.59,Gross,Closed,2015-02-08,2016-09-02,EUR,Berlin
CLM001163,Homeowners,2024,29341.71,61124.89,30988.4,5420.24,Gross,Reopened,2021-11-28,2022-03-26,USD,Sydney
CLM001164,Homeowners,2024,25498.84,60383.01,613.35,2072.15,Net,Closed,2015-09-26,2018-06-19,AUD,Toronto
CLM001165,Auto Liability,2010,64878.53,26313.11,58675.88,6398.83,Gross,Reopened,2019-07-11,2020-07-06,GBP,Paris
CLM001166,Homeowners,2018,65446.2,58076.79,60261.5,5611.42,Net,Closed,2018-01-09,2019-10-30,USD,Paris
CLM001167,Auto Liability,2023,82627.19,130870.91,59884.48,5940.45,Gross,Reopened,2017-03-12,2018-08-29,EUR,Los Angeles
CLM001168,Homeowners,2014,42353.15,55106.18,27929.14,3164.06,Net,Closed,2010-09-11,2011-02-17,CAD,Sydney
CLM001169,Commercial,2020,8235.42,142788.93,42022.01,6470.47,Gross,Reopened,2019-08-22,2020-04-14,AUD,Toronto
CLM001170,Commercial,2011,28092.97,142000.03,29117.89,8329.03,Gross,Closed,2010-02-28,2011-03-24,AUD,Sydney
CLM001171,Workers Comp,2017,98020.54,22589.9,1774.89,9981.1,Gross,Closed,2020-02-20,2020-05-18,GBP,Berlin
CLM001172,Commercial,2020,60029.6,27419.38,45214.69,8416.75,Net,Open,2014-09-18,,EUR,Paris
CLM001173,Commercial,2022,71263.97,129538.44,10338.97,5663.49,Gross,Reopened,2017-02-20,2019-06-30,EUR,Los Angeles
CLM001174,Commercial,2011,1728.43,59521.38,6863.29,2095.61,Net,Open,2023-12-29,,AUD,Paris
CLM001175,Auto Liability,2012,52302.37,1651.72,60562.18,6878.17,Gross,Reopened,2024-07-16,2025-11-16,AUD,London
CLM001176,Commercial,2023,4715.34,41806.9,1255.74,9389.01,Gross,Open,2010-09-22,,GBP,Berlin
CLM001177,Commercial,2019,57353.79,90046.72,76741.17,2276.29,Net,Closed,2014-09-04,2015-08-09,GBP,Chicago
CLM001178,Workers Comp,2010,92156.31,120090.63,41462.8,2708.76,Net,Open,2018-10-20,,CAD,Berlin
CLM001179,Commercial,2020,96873.49,20874.9,78649.81,1660.28,Net,Closed,2016-04-12,2018-11-14,USD,New York
CLM001180,Commercial,2011,54514.71,17470.66,5110.81,7419.87,Gross,Reopened,2019-01-01,2020-07-17,GBP,Berlin
CLM001181,Homeowners,2023,46362.28,138391.81,46890.6,4184.3,Net,Closed,2016-10-20,2017-12-04,USD,Berlin
CLM001182,Workers Comp,2016,94556.69,112921.11,28271.5,814.42,Net,Open,2017-06-28,,AUD,Berlin
CLM001183,Workers Comp,2019,67687.37,88877.16,67556.86,8774.51,Net,Reopened,2016-11-28,2019-05-30,CAD,Chicago
CLM001184,Workers Comp,2011,7425.03,115608.83,29217.21,5665.18,Gross,Open,2019-06-18,,CAD,Los Angeles
CLM001185,Workers Comp,2015,47106.83,64899.3,21208.76,3444.72,Net,Closed,2012-07-26,2013-06-05,CAD,New York
CLM001186,Workers Comp,2024,24784.26,114009.91,68675.47,3571.03,Net,Closed,2012-05-27,2014-06-14,EUR,Toronto
CLM001187,Workers Comp,2012,47510.63,56398.65,30284.92,3044.46,Gross,Open,2017-05-28,,AUD,Los Angeles
CLM001188,Auto Liability,2013,46091.09,37370.09,1838.25,4663.71,Net,Reopened,2011-07-01,2012-12-13,EUR,Los Angeles
CLM001189,Commercial,2020,58632.34,109623.0,31527.98,3503.01,Gross,Open,2016-09-28,,EUR,Paris
CLM001190,Workers Comp,2024,36320.28,63531.17,52534.52,5569.87,Net,Closed,2018-10-09,2021-01-25,CAD,Paris
CLM001191,Commercial,2022,17262.77,147225.19,20721.58,7780.47,Net,Reopened,2022-04-21,2022-07-11,EUR,Paris
CLM001192,Commercial,2017,50868.22,53073.29,34843.01,6809.72,Net,Open,2019-10-19,,AUD,Paris
CLM001193,Auto Liability,2023,83190.09,138337.39,5008.85,3085.68,Net,Closed,2019-12-11,2022-06-26,AUD,Paris
CLM001194,Workers Comp,2012,66737.21,140011.42,47253.38,5381.66,Gross,Reopened,2016-01-25,2017-12-19,EUR,New York
CLM001195,Homeowners,2019,34498.42,37036.09,60625.45,8433.24,Gross,Open,2020-07-13,,AUD,London
CLM001196,Auto Liability,2015,93616.78,119934.96,33358.35,868.42,Gross,Reopened,2010-08-18,2011-04-20,USD,Toronto
CLM001197,Homeowners,2010,91308.55,65528.1,33908.49,967.31,Gross,Closed,2023-02-20,2024-06-09,EUR,Paris
CLM001198,Commercial,2016,21725.49,137711.18,7518.46,5650.47,Gross,Open,2013-11-28,,CAD,Chicago
CLM001199,Commercial,2017,4902.34,68068.52,16554.3,6463.33,Gross,Open,2014-08-27,,CAD,Los Angeles
CLM001200,Auto Liability,2020,74389.56,111901.25,12796.69,2271.85,Net,Closed,2020-11-13,2023-08-05,AUD,Los Angeles
CLM001201,Auto Liability,2023,82933.42,70578.14,38794.18,7503.16,Net,Closed,2018-05-24,2018-10-05,AUD,New York
CLM001202,Homeowners,2017,96818.59,34942.31,42575.82,6533.38,Net,Closed,2015-11-16,2017-05-20,CAD,London
CLM001203,Workers Comp,2012,89093.8,30703.17,75940.74,9248.23,Gross,Open,2010-01-07,,USD,Paris
CLM001204,Homeowners,2023,60452.94,64389.25,6321.9,1855.75,Net,Closed,2021-09-12,2023-11-04,CAD,Chicago
CLM001205,Auto Liability,2019,53475.18,113568.7,48189.5,7563.47,Gross,Open,2013-05-14,,EUR,London
CLM001206,Homeowners,2010,3756.26,91155.65,42356.63,1019.7,Gross,Open,2022-01-12,,CAD,Sydney
CLM001207,Auto Liability,2018,25418.99,103605.76,41540.53,5739.87,Net,Reopened,2014-12-29,2015-05-21,GBP,Paris
CLM001208,Homeowners,2022,46501.86,43066.63,69916.16,5608.57,Net,Closed,2020-11-28,2023-01-11,USD,Sydney
CLM001209,Auto Liability,2015,63221.89,72733.87,16840.31,4006.17,Gross,Closed,2016-03-26,2016-07-02,USD,Los Angeles
CLM001210,Auto Liability,2020,56167.93,7614.89,3741.48,8476.8,Gross,Reopened,2018-01-22,2019-02-20,CAD,Los Angeles
CLM001211,Auto Liability,2018,74520.96,122812.33,53945.58,242.83,Gross,Open,2011-09-23,,GBP,Berlin
CLM001212,Workers Comp,2016,28696.93,148493.93,27940.02,5297.76,Net,Open,2010-09-27,,EUR,Toronto
CLM001213,Homeowners,2010,56930.31,61624.98,1898.4,2328.1,Gross,Open,2021-06-08,,CAD,New York
CLM001214,Homeowners,2021,9726.08,2633.58,20484.23,7486.29,Gross,Closed,2020-04-29,2021-02-28,EUR,Berlin
CLM001215,Homeowners,2021,41952.89,26299.1,25091.48,622.06,Net,Open,2023-06-17,,GBP,Toronto
CLM001216,Auto Liability,2010,75265.92,98226.5,49538.65,8349.24,Gross,Reopened,2011-05-16,2014-01-02,CAD,Los Angeles
CLM001217,Homeowners,2015,69646.68,92199.82,14220.57,8413.3,Net,Open,2023-12-04,,CAD,Sydney
CLM001218,Homeowners,2014,99073.63,118391.84,33337.82,8362.09,Gross,Closed,2017-07-13,2019-06-21,EUR,New York
CLM001219,Auto Liability,2018,28511.22,38828.72,38856.8,1695.17,Net,Closed,2013-08-05,2014-03-27,CAD,London
CLM001220,Commercial,2011,50320.74,114781.16,37009.37,6377.98,Gross,Open,2015-11-24,,GBP,London
CLM001221,Auto Liability,2017,33623.51,103509.62,77928.29,340.8,Net,Open,2022-12-20,,CAD,Berlin
CLM001222,Homeowners,2020,44619.71,49099.36,4117.59,8510.03,Gross,Closed,2011-09-01,2012-01-17,AUD,Berlin
CLM001223,Auto Liability,2014,85838.06,82277.73,76101.97,7285.16,Gross,Open,2018-05-02,,GBP,New York
CLM001224,Commercial,2011,68736.7,22943.8,46764.01,5405.31,Net,Reopened,2023-12-23,2024-09-16,USD,London
CLM001225,Auto Liability,2022,88361.68,68432.11,63760.35,7359.8,Net,Closed,2014-07-22,2014-08-28,EUR,Paris
CLM001226,Homeowners,2019,21147.6,132298.4,34716.21,1124.38,Gross,Open,2019-01-08,,GBP,Paris
CLM001227,Commercial,2020,87462.75,63757.52,36580.11,5380.83,Gross,Open,2015-06-21,,USD,Berlin
CLM001228,Workers Comp,2020,6916.47,126095.44,70406.46,3054.51,Gross,Open,2016-08-26,,USD,Chicago
CLM001229,Homeowners,2021,88971.33,88947.75,71726.79,9731.67,Gross,Reopened,2021-07-01,2023-10-17,GBP,London
CLM001230,Commercial,2015,33578.3,29589.63,19475.77,8599.76,Gross,Closed,2017-06-04,2017-11-12,USD,Sydney
CLM001231,Commercial,2019,32144.18,87584.83,16339.73,7386.1,Gross,Reopened,2018-09-21,2020-10-07,USD,Berlin
CLM001232,Workers Comp,2017,51696.77,76391.52,39950.7,9350.73,Gross,Open,2014-03-12,,AUD,Los Angeles
CLM001233,Auto Liability,2013,94128.33,60397.56,72072.02,3599.06,Net,Reopened,2024-03-02,2026-06-01,CAD,Paris
CLM001234,Auto Liability,2011,5730.36,18824.94,26127.23,9028.62,Gross,Open,2021-07-18,,AUD,Toronto
CLM001235,Homeowners,2021,35870.87,63089.59,52335.16,3387.33,Net,Open,2020-02-24,,CAD,Chicago
CLM001236,Workers Comp,2020,85800.63,11841.59,56798.06,7381.41,Gross,Closed,2018-06-02,2019-07-30,USD,Berlin
CLM001237,Auto Liability,2014,40209.39,15716.59,62404.64,7416.89,Gross,Closed,2022-04-30,2023-12-08,CAD,Sydney
CLM001238,Workers Comp,2024,20716.53,62971.56,45331.99,379.83,Net,Open,2011-11-07,,AUD,New York
CLM001239,Auto Liability,2021,43054.62,46501.84,32495.19,3738.39,Gross,Open,2014-07-13,,EUR,Paris
CLM001240,Commercial,2011,39169.7,138906.1,77377.77,390.44,Net,Open,2022-05-25,,EUR,London
CLM001241,Auto Liability,2011,91626.2,56980.17,49100.79,9971.5,Gross,Closed,2023-09-14,2024-08-08,CAD,Paris
CLM001242,Workers Comp,2024,76431.5,113920.86,58420.93,1397.53,Gross,Closed,2021-05-19,2022-01-23,EUR,Chicago
